t;w;x;y;z;ax;ay;az
1065;0.00;0.04;-1.00;0.00;59;-62;-8709
1083;0.00;0.04;-1.00;0.00;59;-64;-8711
1098;0.00;0.04;-1.00;0.00;61;-64;-8704
1116;0.00;0.04;-1.00;0.00;59;-63;-8704
1133;0.00;0.04;-1.00;0.00;53;-61;-8703
1148;0.00;0.04;-1.00;0.00;53;-61;-8701
1166;0.00;0.04;-1.00;0.00;55;-57;-8702
1184;0.00;0.04;-1.00;0.00;60;-56;-8700
1202;0.00;0.04;-1.00;0.00;56;-55;-8698
1218;0.00;0.04;-1.00;0.00;54;-53;-8698
1235;0.00;0.04;-1.00;0.00;54;-53;-8698
1254;0.00;0.04;-1.00;0.00;57;-56;-8708
1270;0.00;0.04;-1.00;0.00;60;-61;-8705
1291;0.00;0.04;-1.00;0.00;60;-59;-8706
1308;0.00;0.04;-1.00;0.00;58;-61;-8702
1325;0.00;0.04;-1.00;0.00;58;-62;-8704
1342;0.00;0.04;-1.00;0.00;59;-61;-8702
1359;0.00;0.04;-1.00;0.00;56;-60;-8699
1377;0.00;0.04;-1.00;0.00;59;-59;-8699
1394;0.00;0.04;-1.00;0.00;62;-60;-8701
1411;0.00;0.04;-1.00;0.00;59;-60;-8700
1429;0.00;0.04;-1.00;0.00;63;-61;-8691
1445;0.00;0.04;-1.00;0.00;56;-58;-8693
1463;0.00;0.04;-1.00;0.00;57;-55;-8692
1480;0.00;0.04;-1.00;0.00;55;-58;-8686
1498;0.00;0.04;-1.00;0.00;57;-58;-8688
1517;0.00;0.04;-1.00;0.00;60;-58;-8691
1534;0.00;0.04;-1.00;0.00;59;-59;-8694
1553;0.00;0.04;-1.00;0.00;-15182;13971;-8001
1574;0.00;0.04;-1.00;0.00;65;-54;-8705
1591;0.00;0.04;-1.00;0.00;74;-51;-8698
1608;0.00;0.04;-1.00;0.00;71;-52;-8693
1627;0.00;0.04;-1.00;0.00;69;-50;-8692
1644;0.00;0.04;-1.00;0.00;69;-51;-8695
1659;0.00;0.04;-1.00;0.00;66;-53;-8696
1677;0.00;0.04;-1.00;0.00;62;-52;-8696
1695;0.00;0.04;-1.00;0.00;62;-53;-8689
1713;0.00;0.04;-1.00;0.00;63;-54;-8692
1731;0.00;0.04;-1.00;0.00;61;-56;-8697
1749;0.00;0.04;-1.00;0.00;63;-55;-8698
1768;0.00;0.04;-1.00;0.00;66;-53;-8697
1784;0.00;0.04;-1.00;0.00;67;-56;-8700
1800;0.00;0.04;-1.00;0.00;68;-56;-8699
1819;0.00;0.04;-1.00;0.00;65;-53;-8700
1836;0.00;0.04;-1.00;0.00;63;-56;-8694
1853;0.00;0.04;-1.00;0.00;65;-58;-8696
1868;0.00;0.04;-1.00;0.00;65;-56;-8703
1888;0.00;0.04;-1.00;0.00;60;-55;-8704
1905;0.00;0.04;-1.00;0.00;59;-56;-8703
1921;0.00;0.04;-1.00;0.00;63;-58;-8700
1937;0.00;0.04;-1.00;0.00;62;-59;-8700
1960;0.00;0.04;-1.00;0.00;62;-56;-8699
1977;0.00;0.04;-1.00;0.00;63;-55;-8699
1993;0.00;0.04;-1.00;0.00;61;-54;-8699
2011;0.00;0.04;-1.00;0.00;61;-50;-8701
2029;0.00;0.04;-1.00;0.00;61;-52;-8699
2046;0.00;0.04;-1.00;0.00;60;-56;-8691
2062;0.00;0.04;-1.00;0.00;65;-57;-8685
2080;0.00;0.04;-1.00;0.00;67;-57;-8687
2099;0.00;0.04;-1.00;0.00;65;-56;-8696
2115;0.00;0.04;-1.00;0.00;66;-57;-8698
2131;0.00;0.04;-1.00;0.00;63;-58;-8695
2155;0.00;0.04;-1.00;0.00;59;-53;-8687
2173;0.00;0.04;-1.00;0.00;58;-52;-8693
2193;0.00;0.04;-1.00;0.00;60;-49;-8687
2210;0.00;0.04;-1.00;0.00;61;-51;-8692
