# t;w;x;y;z;ax;ay;az
1041.00000;0.02000;0.26000;0.96000;0.00000;0.00000;0.00000;0.00000
1065.00000;0.02000;0.26000;0.96000;0.00000;0.00002;-0.00001;0.00001
1089.00000;0.02000;0.26000;0.96000;0.00000;0.00007;-0.00004;0.00005
1112.00000;0.02000;0.26000;0.96000;0.00000;0.00015;-0.00009;0.00011
1137.00000;0.02000;0.26000;0.96000;0.00000;0.00027;-0.00017;0.00019
1161.00000;0.02000;0.26000;0.96000;0.00000;0.00042;-0.00027;0.00030
1185.00000;0.02000;0.26000;0.96000;0.00000;0.00060;-0.00039;0.00042
1209.00000;0.02000;0.26000;0.96000;0.00000;0.00081;-0.00053;0.00057
1232.00000;0.02000;0.26000;0.96000;0.00000;0.00104;-0.00068;0.00073
1257.00000;0.02000;0.26000;0.96000;0.00000;0.00132;-0.00087;0.00092
1280.00000;0.02000;0.26000;0.96000;0.00000;0.00161;-0.00107;0.00111
1304.00000;0.02000;0.26000;0.96000;0.00000;0.00194;-0.00130;0.00133
1328.00000;0.02000;0.26000;0.96000;0.00000;0.00230;-0.00155;0.00156
1355.00000;0.02000;0.26000;0.96000;0.00000;0.00274;-0.00185;0.00184
1380.00000;0.02000;0.26000;0.96000;0.00000;0.00317;-0.00216;0.00212
1405.00000;0.02000;0.26000;0.96000;0.00000;0.00364;-0.00250;0.00243
1429.00000;0.02000;0.26000;0.96000;0.00000;0.00411;-0.00285;0.00273
1461.00000;0.02000;0.26000;0.96000;0.00000;0.00479;-0.00335;0.00317
1485.00000;0.02000;0.26000;0.96000;0.00000;0.00533;-0.00376;0.00352
1511.00000;0.02000;0.26000;0.96000;0.00000;0.00596;-0.00423;0.00392
1534.00000;0.02000;0.26000;0.96000;0.00000;0.00653;-0.00467;0.00429
1557.00000;0.02000;0.26000;0.96000;0.00000;0.00714;-0.00513;0.00467
1581.00000;0.02000;0.26000;0.96000;0.00000;0.00780;-0.00564;0.00509
1606.00000;0.02000;0.26000;0.96000;0.00000;0.00852;-0.00621;0.00555
1631.00000;0.02000;0.26000;0.96000;0.00000;0.00927;-0.00680;0.00602
1653.00000;0.02000;0.26000;0.96000;0.00000;0.00996;-0.00735;0.00645
1675.00000;0.02000;0.26000;0.96000;0.00000;0.01068;-0.00793;0.00690
1699.00000;0.02000;0.26000;0.96000;0.00000;0.01149;-0.00859;0.00739
1724.00000;0.02000;0.26000;0.96000;0.00000;0.01237;-0.00931;0.00792
1746.00000;0.02000;0.26000;0.96000;0.00000;0.01317;-0.00997;0.00840
1770.00000;0.02000;0.26000;0.96000;0.00000;0.01407;-0.01071;0.00893
1795.00000;0.02000;0.26000;0.96000;0.00000;0.01504;-0.01153;0.00949
1819.00000;0.02000;0.26000;0.96000;0.00000;0.01600;-0.01234;0.01005
1841.00000;0.02000;0.26000;0.96000;0.00000;0.01691;-0.01312;0.01058
1866.00000;0.02000;0.26000;0.96000;0.00000;0.01797;-0.01403;0.01118
1901.00000;0.02000;0.26000;0.96000;0.00000;0.01950;-0.01537;0.01206
1926.00000;0.02000;0.26000;0.96000;0.00000;0.02063;-0.01637;0.01270
