t;w;x;y;z;ax;ay;az
1041;0.02;0.26;0.96;0.04;-45;772;-8896
1065;0.02;0.26;0.96;0.04;-44;773;-8876
1089;0.02;0.26;0.96;0.04;-50;779;-8867
1112;0.02;0.26;0.96;0.04;-59;774;-8863
1137;0.02;0.26;0.96;0.04;-62;781;-8873
1161;0.02;0.26;0.96;0.04;-69;786;-8894
1185;0.02;0.26;0.96;0.04;-82;784;-8917
1209;0.02;0.26;0.96;0.04;-85;775;-8928
1232;0.02;0.26;0.96;0.04;-82;769;-8926
1257;0.02;0.26;0.96;0.04;-83;766;-8931
1280;0.02;0.26;0.96;0.04;-101;769;-8938
1304;0.02;0.26;0.96;0.04;-115;772;-8933
1328;0.02;0.26;0.96;0.04;-115;765;-8920
1355;0.02;0.26;0.96;0.04;-110;752;-8916
1380;0.02;0.26;0.96;0.04;-99;763;-8918
1405;0.02;0.26;0.96;0.04;-81;777;-8918
1429;0.02;0.26;0.96;0.04;-68;773;-8903
1461;0.02;0.26;0.96;0.04;-61;761;-8869
1485;0.02;0.26;0.96;0.04;-51;759;-8865
1511;0.02;0.26;0.96;0.04;-45;752;-8864
1534;0.02;0.26;0.96;0.04;-46;755;-8861
1557;0.02;0.26;0.96;0.04;-60;756;-8859
1581;0.02;0.26;0.96;0.04;-78;744;-8868
1606;0.02;0.26;0.96;0.04;-86;737;-8874
1631;0.02;0.26;0.96;0.04;-82;736;-8878
1653;0.02;0.26;0.96;0.04;-78;747;-8877
1675;0.02;0.26;0.96;0.04;-72;749;-8889
1699;0.02;0.26;0.96;0.04;-68;749;-8904
1724;0.02;0.26;0.96;0.04;-71;750;-8912
1746;0.02;0.26;0.96;0.04;-63;746;-8911
1770;0.02;0.26;0.96;0.04;-65;751;-8904
1795;0.02;0.26;0.96;0.04;-76;753;-8892
1819;0.02;0.26;0.96;0.04;-77;760;-8886
1841;0.02;0.26;0.96;0.04;-71;765;-8888
1866;0.02;0.26;0.96;0.04;-72;771;-8898
1901;0.02;0.26;0.96;0.04;-91;746;-8886
1926;0.02;0.26;0.96;0.04;-88;737;-8875
1950;0.02;0.26;0.96;0.04;-93;745;-8862
